i	j	x	r	mach	theta	press	temp
0	45	0.258405	1.04255	1.68779	17.2734	62.7789	3316.03
1	45	0.262717	1.04106	1.68883	17.2828	62.6779	3314.89
2	45	0.271708	1.03797	1.69106	17.3008	62.4621	3312.46
3	45	0.280923	1.03481	1.69339	17.3177	62.2364	3309.91
4	45	0.290362	1.03159	1.69584	17.3334	62.001	3307.25
5	45	0.300021	1.02831	1.69839	17.3481	61.7561	3304.47
6	45	0.309901	1.02497	1.70104	17.3617	61.5021	3301.57
7	45	0.319997	1.02157	1.7038	17.3744	61.2391	3298.57
8	45	0.33031	1.01811	1.70666	17.3862	60.9674	3295.45
9	45	0.340836	1.0146	1.70962	17.397	60.6872	3292.22
10	45	0.351573	1.01104	1.71268	17.407	60.3989	3288.89
11	45	0.362519	1.00743	1.71583	17.4161	60.1025	3285.46
12	45	0.373672	1.00376	1.71908	17.4243	59.7984	3281.91
13	45	0.38503	1.00005	1.72243	17.4318	59.4867	3278.27
14	45	0.39659	0.996288	1.72587	17.4384	59.1676	3274.52
15	45	0.408351	0.992483	1.72941	17.4442	58.8413	3270.68
16	45	0.42031	0.988635	1.73304	17.4491	58.5079	3266.73
17	45	0.432466	0.984745	1.73676	17.4532	58.1674	3262.68
18	45	0.444817	0.980814	1.74058	17.4565	57.8201	3258.52
19	45	0.457362	0.976843	1.7445	17.4588	57.466	3254.27
20	45	0.470098	0.972834	1.74851	17.4602	57.1051	3249.92
21	45	0.483026	0.968789	1.75261	17.4606	56.7375	3245.46
22	45	0.496143	0.964708	1.75682	17.4601	56.3633	3240.89
23	45	0.509448	0.960592	1.76112	17.4584	55.9824	3236.23
24	45	0.522942	0.956443	1.76552	17.4556	55.595	3231.45
25	45	0.536623	0.952261	1.77003	17.4516	55.2009	3226.57
26	45	0.550491	0.948048	1.77464	17.4464	54.8002	3221.57
27	45	0.564546	0.943804	1.77935	17.4398	54.3929	3216.47
28	45	0.578786	0.93953	1.78417	17.4319	53.979	3211.25
29	45	0.593212	0.935227	1.78911	17.4225	53.5586	3205.92
30	45	0.607824	0.930895	1.79415	17.4116	53.1315	3200.46
31	45	0.622622	0.926536	1.79931	17.3991	52.6979	3194.89
32	45	0.637605	0.922151	1.80458	17.3849	52.2578	3189.2
33	45	0.652774	0.917739	1.80997	17.3691	51.8111	3183.39
34	45	0.668128	0.913301	1.81547	17.3514	51.3581	3177.45
