i	j	x	r	mach	theta	press	temp	Massflow
0	44	0.236408	1.03573	1.67883	17.1881	63.6552	3325.81	5.93186
1	44	0.236954	1.03554	1.67895	17.1896	63.643	3325.68	5.92871
2	44	0.245466	1.03255	1.68096	17.2108	63.4462	3323.49	5.87984
3	44	0.254203	1.0295	1.68307	17.2307	63.2389	3321.18	5.82998
4	44	0.263165	1.02638	1.6853	17.2495	63.0213	3318.75	5.77918
5	44	0.27235	1.0232	1.68764	17.2672	62.7937	3316.19	5.72745
6	44	0.281756	1.01995	1.69009	17.2837	62.5563	3313.52	5.67484
7	44	0.291382	1.01665	1.69264	17.2993	62.3093	3310.74	5.62139
8	44	0.301227	1.01328	1.6953	17.3138	62.053	3307.84	5.56712
9	44	0.311288	1.00986	1.69806	17.3274	61.7877	3304.83	5.51208
10	44	0.321563	1.00638	1.70092	17.3401	61.5136	3301.7	5.4563
11	44	0.332051	1.00284	1.70388	17.3518	61.2309	3298.47	5.39982
12	44	0.342749	0.999254	1.70695	17.3627	60.94	3295.13	5.34269
13	44	0.353655	0.995615	1.71011	17.3728	60.6409	3291.69	5.28493
14	44	0.364767	0.991925	1.71336	17.3821	60.334	3288.14	5.22659
15	44	0.376082	0.988187	1.71672	17.3905	60.0194	3284.49	5.16771
16	44	0.387599	0.984402	1.72017	17.3981	59.6974	3280.73	5.10832
17	44	0.399316	0.980572	1.72371	17.405	59.3679	3276.88	5.04846
18	44	0.41123	0.976699	1.72735	17.411	59.0313	3272.92	4.98816
19	44	0.423339	0.972784	1.73108	17.4162	58.6877	3268.86	4.92746
20	44	0.435643	0.968827	1.73491	17.4205	58.337	3264.7	4.86639
21	44	0.44814	0.964832	1.73883	17.424	57.9794	3260.43	4.80498
22	44	0.460827	0.960799	1.74285	17.4265	57.615	3256.06	4.74328
23	44	0.473704	0.956729	1.74696	17.4281	57.2439	3251.59	4.6813
24	44	0.48677	0.952624	1.75118	17.4287	56.866	3247.02	4.61907
25	44	0.500024	0.948484	1.75549	17.4282	56.4813	3242.34	4.55664
26	44	0.513465	0.944311	1.7599	17.4266	56.09	3237.55	4.49402
27	44	0.527092	0.940106	1.76442	17.4238	55.6919	3232.65	4.43124
28	44	0.540905	0.935869	1.76904	17.4199	55.2871	3227.64	4.36834
29	44	0.554903	0.931602	1.77377	17.4146	54.8757	3222.52	4.30532
30	44	0.569087	0.927306	1.7786	17.4079	54.4575	3217.28	4.24223
31	44	0.583455	0.922981	1.78355	17.3998	54.0327	3211.93	4.17909
32	44	0.598008	0.918628	1.7886	17.3902	53.6012	3206.46	4.11591
33	44	0.612746	0.914247	1.79377	17.379	53.1631	3200.87	4.05273
34	44	0.627667	0.909841	1.79906	17.3662	52.7183	3195.16	3.98957
35	44	0.642773	0.905408	1.80447	17.3517	52.2669	3189.32	3.92646
36	44	0.658064	0.900951	1.80999	17.3354	51.8091	3183.36	3.86341
37	44	0.673538	0.896469	1.81563	17.3172	51.3448	3177.27	3.80045
38	44	0.689195	0.891964	1.8214	17.2972	50.8741	3171.06	3.73761
39	44	0.705036	0.887435	1.82729	17.2752	50.3972	3164.72	3.67492
40	44	0.721059	0.882885	1.83331	17.2512	49.9142	3158.24	3.61239
41	44	0.737264	0.878313	1.83945	17.2252	49.4253	3151.64	3.55005
42	44	0.753651	0.87372	1.84572	17.197	48.9305	3144.91	3.48793
43	44	0.770217	0.869107	1.85212	17.1667	48.4301	3138.04	3.42605
44	44	0.786529	0.864594	1.85818	17.145	47.9605	3131.55	3.366
45	44	0.802162	0.860299	1.86353	17.1394	47.5489	3125.81	3.30925
46	44	0.817926	0.855997	1.86908	17.1291	47.1257	3119.88	3.25277
47	44	0.833549	0.851761	1.87451	17.1214	46.7143	3114.07	3.19755
48	44	0.849583	0.847444	1.88034	17.1054	46.2766	3107.84	3.14163
49	44	0.865442	0.843202	1.88599	17.0936	45.8556	3101.81	3.08709
50	44	0.88186	0.83884	1.89215	17.0713	45.4	3095.23	3.03141
51	44	0.897926	0.834599	1.89797	17.0567	44.9737	3089.03	2.97769
52	44	0.914529	0.830246	1.90429	17.032	44.5152	3082.31	2.92298
53	44	0.931196	0.825905	1.91065	17.0068	44.0576	3075.55	2.86886
54	44	0.947804	0.821608	1.91695	16.9831	43.6086	3068.85	2.81572
55	44	0.964951	0.8172	1.92374	16.9494	43.129	3061.65	2.7617
56	44	0.9818	0.812897	1.93025	16.9218	42.6736	3054.75	2.70942
57	44	0.998896	0.80856	1.93699	16.8895	42.2066	3047.61	2.65719
58	44	1.01647	0.80413	1.94418	16.8482	41.7142	3040.01	2.60436
59	44	1.0336	0.799837	1.95097	16.815	41.2533	3032.84	2.55364
60	44	1.05103	0.795501	1.95804	16.7762	40.7786	3025.39	2.5029
61	44	1.0689	0.791079	1.96553	16.7285	40.2806	3017.5	2.45169
62	44	1.08649	0.786754	1.97278	16.6856	39.804	3009.87	2.40213
63	44	1.10404	0.782465	1.98003	16.6426	39.3328	3002.26	2.35349
64	44	1.12209	0.778081	1.98775	16.5895	38.8361	2994.16	2.30431
65	44	1.14031	0.773682	1.99566	16.5325	38.3337	2985.88	2.25553
66	44	1.15777	0.76949	2.00292	16.4879	37.8771	2978.28	2.20957
67	44	1.17584	0.765175	2.01079	16.4307	37.3885	2970.07	2.16279
68	44	1.19422	0.76081	2.01897	16.3666	36.8862	2961.55	2.11606
69	44	1.21237	0.756524	2.027	16.3049	36.3994	2953.19	2.07073
70	44	1.2301	0.752359	2.03471	16.2485	35.9369	2945.18	2.02723
71	44	1.24832	0.748098	2.04294	16.1812	35.45	2936.65	1.98329
72	44	1.26675	0.743811	2.05141	16.108	34.9547	2927.88	1.93967
73	44	1.28493	0.739602	2.05975	16.0364	34.4736	2919.26	1.89742
74	44	1.30136	0.735815	2.06718	15.975	34.0501	2911.6	1.8599
75	44	1.3055	0.734861	2.06975	15.9374	33.9048	2908.95	1.85054
76	44	1.31209	0.733347	2.07342	15.8904	33.6978	2905.17	1.83575
77	44	1.32095	0.73131	2.07805	15.8373	33.4391	2900.41	1.81601
78	44	1.33131	0.728936	2.08289	15.7931	33.1703	2895.44	1.7932
79	44	1.34426	0.725974	2.08891	15.7385	32.8383	2889.26	1.765
80	44	1.35981	0.722429	2.0961	15.6743	32.4463	2881.89	1.73163
81	44	1.37786	0.718331	2.10435	15.6028	32.0021	2873.45	1.69356
82	44	1.39845	0.713675	2.11369	15.5232	31.5056	2863.92	1.65095
83	44	1.42187	0.708405	2.12437	15.431	30.947	2853.05	1.60355
84	44	1.44861	0.702419	2.13682	15.3174	30.3074	2840.41	1.5508
85	44	1.47928	0.695587	2.15178	15.1654	29.5551	2825.27	1.49207
86	44	1.51807	0.686983	2.1723	14.9216	28.5515	2804.59	1.42057
87	44	1.56875	0.675766	2.20053	14.5555	27.2233	2776.34	1.3318
88	44	1.60985	0.666691	2.22096	14.3318	26.2985	2756.01	1.26346
89	44	1.65952	0.655747	2.24756	14.0003	25.1389	2729.71	1.18493
90	44	1.70477	0.645797	2.27017	13.7455	24.1917	2707.52	1.11714
91	44	1.75677	0.634371	2.29754	13.4079	23.0904	2680.83	1.04334
92	44	1.80682	0.623377	2.32273	13.1154	22.1197	2656.46	0.976299
93	44	1.86236	0.611169	2.35163	12.7596	21.054	2628.72	0.906218
94	44	1.91761	0.599007	2.37953	12.4282	20.0725	2602.18	0.840778
95	44	1.97763	0.585763	2.41046	12.0469	19.036	2573.01	0.774234
96	44	2.03861	0.572263	2.44121	11.6758	18.0569	2544.29	0.711204
97	44	2.10404	0.557711	2.47459	11.2635	17.0498	2513.43	0.648359
98	44	2.17144	0.542637	2.50842	10.8515	16.0855	2482.51	0.588477
99	44	2.2433	0.526455	2.54465	10.4038	15.1116	2449.77	0.529673
100	44	2.31807	0.509485	2.58183	9.94899	14.1729	2416.6	0.473631
101	44	2.39759	0.491271	2.62136	9.4617	13.2379	2381.79	0.41933
102	44	2.48094	0.471977	2.66225	8.9618	12.335	2346.28	0.36781
103	44	2.56959	0.451216	2.70556	8.43102	11.4456	2309.25	0.318567
104	44	2.66312	0.429025	2.75063	7.88316	10.5878	2271.32	0.272268
105	44	2.76276	0.40504	2.79829	7.30486	9.75094	2231.9	0.228719
106	44	2.86849	0.379184	2.84812	6.7057	8.94685	2191.44	0.18838
107	44	2.9815	0.351072	2.90079	6.07562	8.16952	2149.5	0.151245
108	44	3.10212	0.320505	2.95609	5.42126	7.42674	2106.38	0.117664
109	44	3.23158	0.287035	3.01461	4.73472	6.71527	2061.76	0.0877497
110	44	3.37063	0.250314	3.07629	4.02055	6.0403	2015.85	0.061801
111	44	3.52068	0.209774	3.1417	3.27214	5.40009	1968.4	0.0400123
112	44	3.68294	0.164865	3.21091	2.49245	4.79806	1919.55	0.0226701
113	44	3.8592	0.114815	3.28455	1.67408	4.23299	1869.09	0.0100303
114	44	4.05125	0.0587894	3.36248	0.82709	3.7094	1817.35	0.00239215
115	44	4.15508	0.0278704	3.40362	0.39369	3.46051	1790.71	0.000508406
116	44	4.24743	0	3.44102	0	3.24934	1766.9	0
