i	X	R	MACH	THETA	massflow
0	0	1	1.13196	0	5.91048
1	5.00773e-05	0.999906	1.13199	0.00332523	5.90936
2	0.000200334	0.999622	1.13209	0.013282	5.90603
3	0.000450916	0.99915	1.13226	0.0298202	5.90047
4	0.0008021	0.99849	1.13249	0.0528597	5.8927
5	0.00125429	0.997641	1.13279	0.0822912	5.88271
6	0.00180804	0.996604	1.13316	0.117977	5.87052
7	0.00246399	0.99538	1.13359	0.15975	5.85614
8	0.00322293	0.993968	1.1341	0.207418	5.83957
9	0.00408576	0.992369	1.13467	0.260761	5.82083
10	0.0050535	0.990583	1.1353	0.319534	5.79993
11	0.00612727	0.988612	1.136	0.38347	5.77689
12	0.00730828	0.986455	1.13677	0.452279	5.75172
13	0.00859784	0.984114	1.13761	0.525649	5.72445
14	0.00999736	0.981589	1.13851	0.60325	5.69509
15	0.0115083	0.978882	1.13948	0.684737	5.66367
16	0.0131322	0.975991	1.14051	0.769747	5.63022
17	0.0148707	0.97292	1.14161	0.857906	5.59475
18	0.0167254	0.969669	1.14278	0.948828	5.55729
19	0.0186979	0.966238	1.144	1.04212	5.51788
20	0.0207901	0.962629	1.14529	1.13738	5.47655
21	0.0230035	0.958842	1.14664	1.23421	5.43332
22	0.0253399	0.954881	1.14804	1.3322	5.38823
23	0.0278011	0.950744	1.14951	1.43095	5.34132
24	0.0303885	0.946434	1.15102	1.53006	5.29262
25	0.033104	0.941953	1.1526	1.62914	5.24218
26	0.035949	0.9373	1.15422	1.72781	5.19004
27	0.038925	0.932479	1.15588	1.82569	5.13623
28	0.0420334	0.927491	1.1576	1.92242	5.0808
29	0.0452756	0.922336	1.15935	2.01766	5.0238
30	0.0486527	0.917017	1.16114	2.11109	4.96528
31	0.0521659	0.911536	1.16297	2.20241	4.90528
32	0.0558161	0.905894	1.16482	2.29132	4.84385
33	0.059604	0.900092	1.16671	2.37757	4.78105
34	0.0635304	0.894134	1.16862	2.46093	4.71692
35	0.0675957	0.888021	1.17055	2.54118	4.65153
36	0.0718003	0.881754	1.17249	2.61814	4.58493
37	0.0761443	0.875335	1.17445	2.69165	4.51717
38	0.0806278	0.868768	1.17642	2.76158	4.44831
39	0.0852505	0.862054	1.1784	2.82782	4.37841
40	0.0900121	0.855194	1.18038	2.8903	4.30754
41	0.0949121	0.848192	1.18235	2.94897	4.23575
42	0.0999497	0.841049	1.18433	3.0038	4.1631
43	0.105124	0.833768	1.1863	3.05479	4.08965
44	0.110434	0.826351	1.18827	3.10195	4.01548
45	0.115879	0.818801	1.19022	3.14533	3.94063
