i	j	x	r	mach	theta	press	temp
0	0	0	1	1.13196	0	136.959	3914.19
1	0	5.00773e-05	0.999906	1.13199	0.00332523	136.953	3914.15
2	0	0.000200334	0.999622	1.13209	0.013282	136.937	3914.05
3	0	0.000450916	0.99915	1.13226	0.0298202	136.909	3913.88
4	0	0.0008021	0.99849	1.13249	0.0528597	136.869	3913.64
5	0	0.00125429	0.997641	1.13279	0.0822912	136.819	3913.33
6	0	0.00180804	0.996604	1.13316	0.117977	136.757	3912.96
7	0	0.00246399	0.99538	1.13359	0.15975	136.684	3912.52
8	0	0.00322293	0.993968	1.1341	0.207418	136.6	3912
9	0	0.00408576	0.992369	1.13467	0.260761	136.505	3911.42
10	0	0.0050535	0.990583	1.1353	0.319534	136.398	3910.78
11	0	0.00612727	0.988612	1.136	0.38347	136.281	3910.06
12	0	0.00730828	0.986455	1.13677	0.452279	136.152	3909.27
13	0	0.00859784	0.984114	1.13761	0.525649	136.012	3908.42
14	0	0.00999736	0.981589	1.13851	0.60325	135.861	3907.5
15	0	0.0115083	0.978882	1.13948	0.684737	135.699	3906.51
16	0	0.0131322	0.975991	1.14051	0.769747	135.527	3905.45
17	0	0.0148707	0.97292	1.14161	0.857906	135.343	3904.32
18	0	0.0167254	0.969669	1.14278	0.948828	135.149	3903.13
19	0	0.0186979	0.966238	1.144	1.04212	134.945	3901.88
20	0	0.0207901	0.962629	1.14529	1.13738	134.73	3900.56
21	0	0.0230035	0.958842	1.14664	1.23421	134.506	3899.18
22	0	0.0253399	0.954881	1.14804	1.3322	134.272	3897.73
23	0	0.0278011	0.950744	1.14951	1.43095	134.029	3896.23
24	0	0.0303885	0.946434	1.15102	1.53006	133.777	3894.68
25	0	0.033104	0.941953	1.1526	1.62914	133.517	3893.06
26	0	0.035949	0.9373	1.15422	1.72781	133.248	3891.4
27	0	0.038925	0.932479	1.15588	1.82569	132.972	3889.68
28	0	0.0420334	0.927491	1.1576	1.92242	132.689	3887.92
29	0	0.0452756	0.922336	1.15935	2.01766	132.4	3886.12
30	0	0.0486527	0.917017	1.16114	2.11109	132.104	3884.27
31	0	0.0521659	0.911536	1.16297	2.20241	131.804	3882.39
32	0	0.0558161	0.905894	1.16482	2.29132	131.498	3880.47
33	0	0.059604	0.900092	1.16671	2.37757	131.188	3878.53
34	0	0.0635304	0.894134	1.16862	2.46093	130.875	3876.56
35	0	0.0675957	0.888021	1.17055	2.54118	130.559	3874.56
36	0	0.0718003	0.881754	1.17249	2.61814	130.24	3872.55
37	0	0.0761443	0.875335	1.17445	2.69165	129.92	3870.53
38	0	0.0806278	0.868768	1.17642	2.76158	129.599	3868.49
39	0	0.0852505	0.862054	1.1784	2.82782	129.277	3866.44
40	0	0.0900121	0.855194	1.18038	2.8903	128.955	3864.39
41	0	0.0949121	0.848192	1.18235	2.94897	128.633	3862.34
42	0	0.0999497	0.841049	1.18433	3.0038	128.312	3860.29
43	0	0.105124	0.833768	1.1863	3.05479	127.992	3858.24
44	0	0.110434	0.826351	1.18827	3.10195	127.674	3856.2
45	0	0.115879	0.818801	1.19022	3.14533	127.358	3854.17
46	0	0.121457	0.81112	1.19217	3.18499	127.044	3852.15
47	0	0.127167	0.80331	1.1941	3.22101	126.732	3850.13
48	0	0.133006	0.795374	1.19602	3.25348	126.422	3848.13
49	0	0.138975	0.787315	1.19793	3.28251	126.115	3846.14
50	0	0.14507	0.779135	1.19983	3.30822	125.81	3844.16
51	0	0.151289	0.770838	1.20172	3.33073	125.507	3842.19
52	0	0.157632	0.762424	1.2036	3.35019	125.206	3840.23
53	0	0.164095	0.753898	1.20547	3.36674	124.906	3838.28
54	0	0.170677	0.745263	1.20734	3.38052	124.608	3836.33
55	0	0.177376	0.73652	1.2092	3.39168	124.311	3834.38
56	0	0.184189	0.727673	1.21106	3.40036	124.015	3832.44
57	0	0.191114	0.718725	1.21292	3.40671	123.718	3830.49
58	0	0.19815	0.709679	1.21479	3.41086	123.421	3828.53
59	0	0.205293	0.700538	1.21668	3.41295	123.123	3826.56
60	0	0.212542	0.691305	1.21857	3.41312	122.822	3824.57
61	0	0.219895	0.681983	1.22049	3.41146	122.519	3822.56
62	0	0.22735	0.672575	1.22243	3.40811	122.213	3820.53
63	0	0.234905	0.663084	1.2244	3.40315	121.902	3818.46
64	0	0.242557	0.653513	1.2264	3.39669	121.586	3816.36
65	0	0.250305	0.643866	1.22845	3.3888	121.264	3814.21
66	0	0.258147	0.634146	1.23054	3.37955	120.936	3812.01
67	0	0.266081	0.624357	1.23268	3.36901	120.6	3809.75
68	0	0.274105	0.614501	1.23488	3.35723	120.256	3807.44
69	0	0.282219	0.604582	1.23715	3.34424	119.902	3805.05
70	0	0.290419	0.594604	1.23948	3.33008	119.538	3802.6
71	0	0.298704	0.584569	1.24189	3.31477	119.163	3800.06
72	0	0.307074	0.574482	1.24437	3.29832	118.777	3797.43
73	0	0.315526	0.564345	1.24695	3.28075	118.377	3794.72
74	0	0.324058	0.554163	1.24961	3.26204	117.965	3791.9
75	0	0.33267	0.543939	1.25237	3.2422	117.539	3788.99
76	0	0.34136	0.533677	1.25523	3.22121	117.098	3785.96
77	0	0.350126	0.523379	1.25819	3.19906	116.643	3782.83
78	0	0.358967	0.513051	1.26127	3.17572	116.171	3779.57
79	0	0.367882	0.502695	1.26445	3.15118	115.684	3776.19
80	0	0.376868	0.492316	1.26776	3.12542	115.18	3772.69
81	0	0.385924	0.481917	1.27118	3.0984	114.659	3769.06
82	0	0.39505	0.471502	1.27472	3.0701	114.121	3765.29
83	0	0.404242	0.461074	1.27839	3.04051	113.566	3761.39
84	0	0.413499	0.450638	1.28219	3.00959	112.993	3757.35
85	0	0.42282	0.440198	1.28611	2.97733	112.403	3753.17
