i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
0	0	0	1	1.13196	0	136.959	3914.19	0.0021945	5.91048
1	0	5.00773e-05	0.999906	1.13199	0.00332523	136.953	3914.15	0.00219443	5.90936
2	0	0.000200334	0.999622	1.13209	0.013282	136.937	3914.05	0.00219422	5.90603
3	0	0.000450916	0.99915	1.13226	0.0298202	136.909	3913.88	0.00219387	5.90047
4	0	0.0008021	0.99849	1.13249	0.0528597	136.869	3913.64	0.00219337	5.8927
5	0	0.00125429	0.997641	1.13279	0.0822912	136.819	3913.33	0.00219273	5.88271
6	0	0.00180804	0.996604	1.13316	0.117977	136.757	3912.96	0.00219195	5.87052
7	0	0.00246399	0.99538	1.13359	0.15975	136.684	3912.52	0.00219103	5.85614
8	0	0.00322293	0.993968	1.1341	0.207418	136.6	3912	0.00218997	5.83957
9	0	0.00408576	0.992369	1.13467	0.260761	136.505	3911.42	0.00218877	5.82083
10	0	0.0050535	0.990583	1.1353	0.319534	136.398	3910.78	0.00218743	5.79993
11	0	0.00612727	0.988612	1.136	0.38347	136.281	3910.06	0.00218594	5.77689
12	0	0.00730828	0.986455	1.13677	0.452279	136.152	3909.27	0.00218431	5.75172
13	0	0.00859784	0.984114	1.13761	0.525649	136.012	3908.42	0.00218255	5.72445
14	0	0.00999736	0.981589	1.13851	0.60325	135.861	3907.5	0.00218064	5.69509
15	0	0.0115083	0.978882	1.13948	0.684737	135.699	3906.51	0.00217859	5.66367
16	0	0.0131322	0.975991	1.14051	0.769747	135.527	3905.45	0.00217641	5.63022
17	0	0.0148707	0.97292	1.14161	0.857906	135.343	3904.32	0.00217409	5.59475
18	0	0.0167254	0.969669	1.14278	0.948828	135.149	3903.13	0.00217164	5.55729
19	0	0.0186979	0.966238	1.144	1.04212	134.945	3901.88	0.00216905	5.51788
20	0	0.0207901	0.962629	1.14529	1.13738	134.73	3900.56	0.00216634	5.47655
21	0	0.0230035	0.958842	1.14664	1.23421	134.506	3899.18	0.0021635	5.43332
22	0	0.0253399	0.954881	1.14804	1.3322	134.272	3897.73	0.00216053	5.38823
23	0	0.0278011	0.950744	1.14951	1.43095	134.029	3896.23	0.00215745	5.34132
24	0	0.0303885	0.946434	1.15102	1.53006	133.777	3894.68	0.00215426	5.29262
25	0	0.033104	0.941953	1.1526	1.62914	133.517	3893.06	0.00215096	5.24218
26	0	0.035949	0.9373	1.15422	1.72781	133.248	3891.4	0.00214755	5.19004
27	0	0.038925	0.932479	1.15588	1.82569	132.972	3889.68	0.00214405	5.13623
28	0	0.0420334	0.927491	1.1576	1.92242	132.689	3887.92	0.00214045	5.0808
29	0	0.0452756	0.922336	1.15935	2.01766	132.4	3886.12	0.00213677	5.0238
30	0	0.0486527	0.917017	1.16114	2.11109	132.104	3884.27	0.00213302	4.96528
31	0	0.0521659	0.911536	1.16297	2.20241	131.804	3882.39	0.00212919	4.90528
32	0	0.0558161	0.905894	1.16482	2.29132	131.498	3880.47	0.00212531	4.84385
33	0	0.059604	0.900092	1.16671	2.37757	131.188	3878.53	0.00212136	4.78105
34	0	0.0635304	0.894134	1.16862	2.46093	130.875	3876.56	0.00211737	4.71692
35	0	0.0675957	0.888021	1.17055	2.54118	130.559	3874.56	0.00211334	4.65153
36	0	0.0718003	0.881754	1.17249	2.61814	130.24	3872.55	0.00210928	4.58493
37	0	0.0761443	0.875335	1.17445	2.69165	129.92	3870.53	0.0021052	4.51717
