i	j	x	r	mach	theta	press	temp	massflow
140	0	0.785514	0	1.5	0	83.3053	3521.58	0
115	1	0.588804	0	1.38102	0	98.7409	3651.18	0
114	2	0.588025	0	1.37244	0	99.927	3660.46	0
114	3	0.589546	0	1.3682	0	100.517	3665.04	0
114	4	0.593394	0	1.36504	0	100.959	3668.46	0
114	5	0.599618	0	1.36242	0	101.326	3671.29	0
114	6	0.608278	0	1.36013	0	101.647	3673.76	0
114	7	0.619392	0	1.35808	0	101.936	3675.98	0
114	8	0.633001	0	1.3562	0	102.2	3678	0
114	9	0.649139	0	1.35447	0	102.445	3679.87	0
114	10	0.667827	0	1.35285	0	102.674	3681.62	0
114	11	0.689127	0	1.35132	0	102.89	3683.27	0
114	12	0.713014	0	1.34988	0	103.094	3684.82	0
114	13	0.738992	0	1.34859	0	103.278	3686.21	0
114	14	0.767837	0	1.36196	0	101.39	3671.78	0
114	15	0.801682	0	1.42926	0	92.2525	3598.79	0
114	16	0.836823	0	1.44583	0	90.096	3580.74	0
114	17	0.874512	0	1.49495	0	83.9212	3527.1	0
114	18	0.914013	0	1.51746	0	81.2001	3502.47	0
114	19	0.956231	0	1.56258	0	75.9503	3453.05	0
114	20	1.00071	0	1.59162	0	72.7139	3421.23	0
114	21	1.04818	0	1.63636	0	67.9443	3372.24	0
114	22	1.09842	0	1.67157	0	64.3715	3333.74	0
114	23	1.15207	0	1.71802	0	59.8975	3283.07	0
114	24	1.20912	0	1.75923	0	56.1494	3238.28	0
114	25	1.27018	0	1.80889	0	51.8997	3184.54	0
114	26	1.33543	0	1.85623	0	48.1109	3133.63	0
114	27	1.40555	0	1.91039	0	44.0763	3075.82	0
114	28	1.48091	0	1.96431	0	40.3615	3018.78	0
114	29	1.56231	0	2.02419	0	36.5691	2956.11	0
114	30	1.65037	0	2.08544	0	33.0293	2892.82	0
114	31	1.74612	0	2.15237	0	29.5256	2824.67	0
114	32	1.85051	0	2.22205	0	26.2497	2754.92	0
114	33	1.96493	0	2.29759	0	23.0886	2680.79	0
114	34	2.09082	0	2.37721	0	20.1525	2604.38	0
114	35	2.23016	0	2.46328	0	17.3849	2523.85	0
114	36	2.38515	0	2.55488	0	14.8474	2440.6	0
114	37	2.55872	0	2.65399	0	12.5122	2353.41	0
114	38	2.75436	0	2.76038	0	10.411	2263.2	0
114	39	2.97662	0	2.87592	0	8.52769	2169.2	0
114	40	3.23118	0	3.00101	0	6.87423	2072.04	0
114	41	3.52554	0	3.1377	0	5.43717	1971.26	0
114	42	3.86941	0	3.28712	0	4.21454	1867.35	0
115	43	4.06603	0	3.36715	0	3.68024	1814.3	0
116	44	4.24743	0	3.44102	0	3.24934	1766.9	0
