Centerline Data file
J	X/R*	R/R*	Mach	Pres	Temp	Rho	Theta	Gamma	MassFlow
0	0.785514	0	1.5	83.3053	3521.58	0.00148362	0	1.27	0
1	0.588804	0	1.38102	98.7409	3651.18	0.0016961	0	1.27	0
2	0.588025	0	1.37244	99.927	3660.46	0.00171212	0	1.27	0
3	0.589546	0	1.3682	100.517	3665.04	0.00172008	0	1.27	0
4	0.593394	0	1.36504	100.959	3668.46	0.00172603	0	1.27	0
5	0.599618	0	1.36242	101.326	3671.29	0.00173097	0	1.27	0
6	0.608278	0	1.36013	101.647	3673.76	0.00173529	0	1.27	0
7	0.619392	0	1.35808	101.936	3675.98	0.00173916	0	1.27	0
8	0.633001	0	1.3562	102.2	3678	0.00174271	0	1.27	0
9	0.649139	0	1.35447	102.445	3679.87	0.001746	0	1.27	0
10	0.667827	0	1.35285	102.674	3681.62	0.00174907	0	1.27	0
11	0.689127	0	1.35132	102.89	3683.27	0.00175197	0	1.27	0
12	0.713014	0	1.34988	103.094	3684.82	0.0017547	0	1.27	0
13	0.738992	0	1.34859	103.278	3686.21	0.00175717	0	1.27	0
14	0.767837	0	1.36196	101.39	3671.78	0.00173183	0	1.27	0
15	0.801682	0	1.42926	92.2525	3598.79	0.00160771	0	1.27	0
16	0.836823	0	1.44583	90.096	3580.74	0.00157804	0	1.27	0
17	0.874512	0	1.49495	83.9212	3527.1	0.00149225	0	1.27	0
18	0.914013	0	1.51746	81.2001	3502.47	0.00145401	0	1.27	0
19	0.956231	0	1.56258	75.9503	3453.05	0.00137947	0	1.27	0
20	1.00071	0	1.59162	72.7139	3421.23	0.00133297	0	1.27	0
21	1.04818	0	1.63636	67.9443	3372.24	0.00126363	0	1.27	0
22	1.09842	0	1.67157	64.3715	3333.74	0.00121101	0	1.27	0
23	1.15207	0	1.71802	59.8975	3283.07	0.00114424	0	1.27	0
24	1.20912	0	1.75923	56.1494	3238.28	0.00108747	0	1.27	0
25	1.27018	0	1.80889	51.8997	3184.54	0.00102213	0	1.27	0
26	1.33543	0	1.85623	48.1109	3133.63	0.000962902	0	1.27	0
27	1.40555	0	1.91039	44.0763	3075.82	0.000898733	0	1.27	0
28	1.48091	0	1.96431	40.3615	3018.78	0.000838537	0	1.27	0
29	1.56231	0	2.02419	36.5691	2956.11	0.000775853	0	1.27	0
30	1.65037	0	2.08544	33.0293	2892.82	0.000716085	0	1.27	0
31	1.74612	0	2.15237	29.5256	2824.67	0.000655568	0	1.27	0
32	1.85051	0	2.22205	26.2497	2754.92	0.000597589	0	1.27	0
33	1.96493	0	2.29759	23.0886	2680.79	0.00054016	0	1.27	0
34	2.09082	0	2.37721	20.1525	2604.38	0.000485302	0	1.27	0
35	2.23016	0	2.46328	17.3849	2523.85	0.00043201	0	1.27	0
36	2.38515	0	2.55488	14.8474	2440.6	0.000381541	0	1.27	0
37	2.55872	0	2.65399	12.5122	2353.41	0.000333445	0	1.27	0
38	2.75436	0	2.76038	10.411	2263.2	0.000288507	0	1.27	0
39	2.97662	0	2.87592	8.52769	2169.2	0.000246558	0	1.27	0
40	3.23118	0	3.00101	6.87423	2072.04	0.000208071	0	1.27	0
41	3.52554	0	3.1377	5.43717	1971.26	0.000172988	0	1.27	0
42	3.86941	0	3.28712	4.21454	1867.35	0.00014155	0	1.27	0
43	4.12219	0	3.39002	3.54684	1799.63	0.000123541	0	1.27	0
