Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Minimum Length Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	PTotal/PExit = 15.9542
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1.5
Downstream Radius/R*:	0.8

Thermodynamic Inputs
Total Pressure (psia):	290.076
Total Temperature (R):	4591.26
Gamma:	1.27
Molecular Weight:	21.65
Ambient Pressure (psia):	15.9542

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	141
Maximum allowable angle between characteristics along wall (deg):	1
Number of RRCs to calculate above KERNEL (50-100):	15

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
0	0	1	1.13196	0	136.959	3914.19	0.0021945	1.27	5.91048
1	5.00773e-05	0.999906	1.13199	0.00332523	136.953	3914.15	0.00219443	1.27	5.90936
2	0.000200334	0.999622	1.13209	0.013282	136.937	3914.05	0.00219422	1.27	5.90603
3	0.000450916	0.99915	1.13226	0.0298202	136.909	3913.88	0.00219387	1.27	5.90047
4	0.0008021	0.99849	1.13249	0.0528597	136.869	3913.64	0.00219337	1.27	5.8927
5	0.00125429	0.997641	1.13279	0.0822912	136.819	3913.33	0.00219273	1.27	5.88271
6	0.00180804	0.996604	1.13316	0.117977	136.757	3912.96	0.00219195	1.27	5.87052
7	0.00246399	0.99538	1.13359	0.15975	136.684	3912.52	0.00219103	1.27	5.85614
8	0.00322293	0.993968	1.1341	0.207418	136.6	3912	0.00218997	1.27	5.83957
9	0.00408576	0.992369	1.13467	0.260761	136.505	3911.42	0.00218877	1.27	5.82083
10	0.0050535	0.990583	1.1353	0.319534	136.398	3910.78	0.00218743	1.27	5.79993
11	0.00612727	0.988612	1.136	0.38347	136.281	3910.06	0.00218594	1.27	5.77689
12	0.00730828	0.986455	1.13677	0.452279	136.152	3909.27	0.00218431	1.27	5.75172
13	0.00859784	0.984114	1.13761	0.525649	136.012	3908.42	0.00218255	1.27	5.72445
14	0.00999736	0.981589	1.13851	0.60325	135.861	3907.5	0.00218064	1.27	5.69509
15	0.0115083	0.978882	1.13948	0.684737	135.699	3906.51	0.00217859	1.27	5.66367
16	0.0131322	0.975991	1.14051	0.769747	135.527	3905.45	0.00217641	1.27	5.63022
17	0.0148707	0.97292	1.14161	0.857906	135.343	3904.32	0.00217409	1.27	5.59475
18	0.0167254	0.969669	1.14278	0.948828	135.149	3903.13	0.00217164	1.27	5.55729
19	0.0186979	0.966238	1.144	1.04212	134.945	3901.88	0.00216905	1.27	5.51788
20	0.0207901	0.962629	1.14529	1.13738	134.73	3900.56	0.00216634	1.27	5.47655
21	0.0230035	0.958842	1.14664	1.23421	134.506	3899.18	0.0021635	1.27	5.43332
22	0.0253399	0.954881	1.14804	1.3322	134.272	3897.73	0.00216053	1.27	5.38823
23	0.0278011	0.950744	1.14951	1.43095	134.029	3896.23	0.00215745	1.27	5.34132
24	0.0303885	0.946434	1.15102	1.53006	133.777	3894.68	0.00215426	1.27	5.29262
25	0.033104	0.941953	1.1526	1.62914	133.517	3893.06	0.00215096	1.27	5.24218
26	0.035949	0.9373	1.15422	1.72781	133.248	3891.4	0.00214755	1.27	5.19004
27	0.038925	0.932479	1.15588	1.82569	132.972	3889.68	0.00214405	1.27	5.13623
28	0.0420334	0.927491	1.1576	1.92242	132.689	3887.92	0.00214045	1.27	5.0808
29	0.0452756	0.922336	1.15935	2.01766	132.4	3886.12	0.00213677	1.27	5.0238
30	0.0486527	0.917017	1.16114	2.11109	132.104	3884.27	0.00213302	1.27	4.96528
31	0.0521659	0.911536	1.16297	2.20241	131.804	3882.39	0.00212919	1.27	4.90528
32	0.0558161	0.905894	1.16482	2.29132	131.498	3880.47	0.00212531	1.27	4.84385
33	0.059604	0.900092	1.16671	2.37757	131.188	3878.53	0.00212136	1.27	4.78105
34	0.0635304	0.894134	1.16862	2.46093	130.875	3876.56	0.00211737	1.27	4.71692
35	0.0675957	0.888021	1.17055	2.54118	130.559	3874.56	0.00211334	1.27	4.65153
36	0.0718003	0.881754	1.17249	2.61814	130.24	3872.55	0.00210928	1.27	4.58493
37	0.0761443	0.875335	1.17445	2.69165	129.92	3870.53	0.0021052	1.27	4.51717
38	0.0806278	0.868768	1.17642	2.76158	129.599	3868.49	0.0021011	1.27	4.44831
39	0.0852505	0.862054	1.1784	2.82782	129.277	3866.44	0.00209699	1.27	4.37841
40	0.0900121	0.855194	1.18038	2.8903	128.955	3864.39	0.00209287	1.27	4.30754
41	0.0949121	0.848192	1.18235	2.94897	128.633	3862.34	0.00208876	1.27	4.23575
42	0.0999497	0.841049	1.18433	3.0038	128.312	3860.29	0.00208465	1.27	4.1631
43	0.105124	0.833768	1.1863	3.05479	127.992	3858.24	0.00208056	1.27	4.08965
44	0.110434	0.826351	1.18827	3.10195	127.674	3856.2	0.00207649	1.27	4.01548
45	0.115879	0.818801	1.19022	3.14533	127.358	3854.17	0.00207244	1.27	3.94063
46	0.121457	0.81112	1.19217	3.18499	127.044	3852.15	0.00206841	1.27	3.86518
47	0.127167	0.80331	1.1941	3.22101	126.732	3850.13	0.00206441	1.27	3.78919
48	0.133006	0.795374	1.19602	3.25348	126.422	3848.13	0.00206044	1.27	3.71272
49	0.138975	0.787315	1.19793	3.28251	126.115	3846.14	0.00205649	1.27	3.63583
50	0.14507	0.779135	1.19983	3.30822	125.81	3844.16	0.00205258	1.27	3.55859
51	0.151289	0.770838	1.20172	3.33073	125.507	3842.19	0.00204868	1.27	3.48107
52	0.157632	0.762424	1.2036	3.35019	125.206	3840.23	0.00204481	1.27	3.40333
53	0.164095	0.753898	1.20547	3.36674	124.906	3838.28	0.00204096	1.27	3.32542
54	0.170677	0.745263	1.20734	3.38052	124.608	3836.33	0.00203713	1.27	3.24743
55	0.177376	0.73652	1.2092	3.39168	124.311	3834.38	0.0020333	1.27	3.16939
56	0.184189	0.727673	1.21106	3.40036	124.015	3832.44	0.00202948	1.27	3.09139
57	0.191114	0.718725	1.21292	3.40671	123.718	3830.49	0.00202566	1.27	3.01347
58	0.19815	0.709679	1.21479	3.41086	123.421	3828.53	0.00202183	1.27	2.93571
59	0.205293	0.700538	1.21668	3.41295	123.123	3826.56	0.00201798	1.27	2.85815
60	0.212542	0.691305	1.21857	3.41312	122.822	3824.57	0.0020141	1.27	2.78087
61	0.219895	0.681983	1.22049	3.41146	122.519	3822.56	0.00201019	1.27	2.70391
62	0.22735	0.672575	1.22243	3.40811	122.213	3820.53	0.00200623	1.27	2.62734
63	0.234905	0.663084	1.2244	3.40315	121.902	3818.46	0.00200221	1.27	2.55121
64	0.242557	0.653513	1.2264	3.39669	121.586	3816.36	0.00199812	1.27	2.47559
65	0.250305	0.643866	1.22845	3.3888	121.264	3814.21	0.00199396	1.27	2.40051
66	0.258147	0.634146	1.23054	3.37955	120.936	3812.01	0.00198971	1.27	2.32604
67	0.266081	0.624357	1.23268	3.36901	120.6	3809.75	0.00198535	1.27	2.25223
68	0.274105	0.614501	1.23488	3.35723	120.256	3807.44	0.00198088	1.27	2.17913
69	0.282219	0.604582	1.23715	3.34424	119.902	3805.05	0.00197629	1.27	2.10679
70	0.290419	0.594604	1.23948	3.33008	119.538	3802.6	0.00197157	1.27	2.03526
71	0.298704	0.584569	1.24189	3.31477	119.163	3800.06	0.0019667	1.27	1.96458
72	0.307074	0.574482	1.24437	3.29832	118.777	3797.43	0.00196168	1.27	1.89481
73	0.315526	0.564345	1.24695	3.28075	118.377	3794.72	0.00195648	1.27	1.82598
74	0.324058	0.554163	1.24961	3.26204	117.965	3791.9	0.00195112	1.27	1.75815
75	0.33267	0.543939	1.25237	3.2422	117.539	3788.99	0.00194557	1.27	1.69134
76	0.34136	0.533677	1.25523	3.22121	117.098	3785.96	0.00193982	1.27	1.62561
77	0.350126	0.523379	1.25819	3.19906	116.643	3782.83	0.00193387	1.27	1.56098
78	0.358967	0.513051	1.26127	3.17572	116.171	3779.57	0.00192772	1.27	1.4975
79	0.367882	0.502695	1.26445	3.15118	115.684	3776.19	0.00192134	1.27	1.4352
80	0.376868	0.492316	1.26776	3.12542	115.18	3772.69	0.00191475	1.27	1.37412
81	0.385924	0.481917	1.27118	3.0984	114.659	3769.06	0.00190793	1.27	1.31428
82	0.39505	0.471502	1.27472	3.0701	114.121	3765.29	0.00190088	1.27	1.25572
83	0.404242	0.461074	1.27839	3.04051	113.566	3761.39	0.00189359	1.27	1.19846
84	0.413499	0.450638	1.28219	3.00959	112.993	3757.35	0.00188607	1.27	1.14253
85	0.42282	0.440198	1.28611	2.97733	112.403	3753.17	0.00187831	1.27	1.08795
86	0.432202	0.429757	1.29017	2.9437	111.796	3748.85	0.00187032	1.27	1.03475
87	0.441643	0.419319	1.29435	2.9087	111.171	3744.39	0.00186208	1.27	0.982939
88	0.451141	0.408889	1.29867	2.8723	110.529	3739.78	0.00185361	1.27	0.932539
89	0.460693	0.39847	1.30311	2.8345	109.871	3735.03	0.00184491	1.27	0.883566
90	0.470298	0.388067	1.30768	2.79529	109.196	3730.14	0.00183598	1.27	0.836033
91	0.479952	0.377683	1.31239	2.75466	108.504	3725.1	0.00182682	1.27	0.78995
92	0.489652	0.367323	1.31722	2.71262	107.797	3719.93	0.00181744	1.27	0.745327
93	0.499396	0.356991	1.32217	2.66917	107.075	3714.62	0.00180784	1.27	0.702169
94	0.50918	0.34669	1.32724	2.62432	106.338	3709.17	0.00179804	1.27	0.660481
95	0.519001	0.336426	1.33244	2.57808	105.588	3703.59	0.00178804	1.27	0.620265
96	0.528855	0.326202	1.33775	2.53046	104.824	3697.88	0.00177785	1.27	0.581521
97	0.538737	0.316023	1.34317	2.48148	104.048	3692.04	0.00176748	1.27	0.544246
98	0.548645	0.305893	1.3487	2.43117	103.261	3686.08	0.00175694	1.27	0.508436
99	0.558573	0.295817	1.35434	2.37954	102.463	3680.01	0.00174624	1.27	0.474083
100	0.568518	0.285799	1.36007	2.32662	101.655	3673.82	0.00173539	1.27	0.441179
101	0.578473	0.275842	1.3659	2.27244	100.839	3667.53	0.00172441	1.27	0.409712
102	0.588434	0.265953	1.37181	2.21705	100.015	3661.14	0.00171331	1.27	0.379668
103	0.598396	0.256136	1.37781	2.16046	99.1843	3654.65	0.00170209	1.27	0.351032
104	0.608353	0.246394	1.38388	2.10273	98.3482	3648.08	0.00169079	1.27	0.323787
105	0.618298	0.236733	1.39001	2.04389	97.5076	3641.43	0.0016794	1.27	0.297912
106	0.628227	0.227158	1.39621	1.98399	96.6638	3634.71	0.00166794	1.27	0.273386
107	0.638131	0.217673	1.40247	1.92307	95.8179	3627.92	0.00165644	1.27	0.250187
108	0.648005	0.208284	1.40877	1.8612	94.9709	3621.08	0.0016449	1.27	0.228287
109	0.657842	0.198995	1.41511	1.79841	94.1241	3614.19	0.00163334	1.27	0.207661
110	0.667634	0.189811	1.42148	1.73477	93.2786	3607.27	0.00162177	1.27	0.18828
111	0.677373	0.180738	1.42787	1.67033	92.4356	3600.31	0.00161022	1.27	0.170114
112	0.687051	0.17178	1.43428	1.60517	91.5963	3593.34	0.0015987	1.27	0.15313
113	0.696661	0.162944	1.44069	1.53936	90.7619	3586.35	0.00158722	1.27	0.137296
114	0.706193	0.154235	1.4471	1.47295	89.9334	3579.37	0.0015758	1.27	0.122577
115	0.715639	0.145657	1.45349	1.40604	89.1121	3572.39	0.00156446	1.27	0.108938
116	0.72499	0.137219	1.45986	1.33871	88.2992	3565.44	0.00155321	1.27	0.0963415
117	0.734236	0.128924	1.4662	1.27104	87.4957	3558.52	0.00154207	1.27	0.0847499
118	0.743367	0.120779	1.4725	1.20314	86.7029	3551.64	0.00153106	1.27	0.0741244
119	0.752372	0.112792	1.47875	1.13511	85.9218	3544.81	0.00152019	1.27	0.0644254
120	0.761242	0.104968	1.48494	1.06704	85.1536	3538.05	0.00150948	1.27	0.0556123
121	0.769965	0.0973143	1.49105	0.999079	84.3994	3531.36	0.00149894	1.27	0.0476443
122	0.778528	0.0898384	1.49709	0.931336	83.6604	3524.77	0.00148859	1.27	0.0404795
123	0.782725	0.0825479	1.49987	0.85898	83.3209	3521.72	0.00148384	1.27	0.0341265
124	0.783236	0.075451	1.49993	0.78424	83.3142	3521.66	0.00148374	1.27	0.028508
125	0.783484	0.0685561	1.49982	0.711654	83.3269	3521.78	0.00148392	1.27	0.0235356
126	0.783962	0.0618726	1.49993	0.641777	83.3139	3521.66	0.00148374	1.27	0.0191683
127	0.784193	0.0554104	1.49988	0.57421	83.3194	3521.71	0.00148381	1.27	0.0153729
128	0.784415	0.0491802	1.49986	0.509254	83.3219	3521.73	0.00148385	1.27	0.0121099
129	0.784628	0.0431939	1.49986	0.446987	83.3217	3521.73	0.00148385	1.27	0.0093409
130	0.784832	0.0374645	1.49989	0.387509	83.3191	3521.71	0.00148381	1.27	0.00702696
131	0.785025	0.0320069	1.49992	0.330939	83.3146	3521.67	0.00148375	1.27	0.00512856
132	0.785208	0.0268379	1.49997	0.277422	83.3084	3521.61	0.00148366	1.27	0.00360565
133	0.785293	0.0219768	1.49997	0.227111	83.3088	3521.61	0.00148367	1.27	0.00241776
134	0.785373	0.0174471	1.49998	0.180266	83.3077	3521.6	0.00148365	1.27	0.00152377
135	0.785446	0.013277	1.5	0.137165	83.3054	3521.58	0.00148362	1.27	0.00088241
136	0.78548	0.00950296	1.5	0.0981656	83.3053	3521.58	0.00148362	1.27	0.000452048
137	0.785494	0.00617372	1.49999	0.0637702	83.3058	3521.59	0.00148362	1.27	0.000190791
138	0.785506	0.00336107	1.5	0.0347166	83.3056	3521.58	0.00148362	1.27	5.65484e-05
139	0.785511	0.00118843	1.5	0.0122752	83.3055	3521.58	0.00148362	1.27	7.06988e-06
140	0.785514	0	1.5	0	83.3053	3521.58	0.00148362	1.27	0

Initial Data Line(Throat Plane) 
For a throat radius(in) = 1.0. 
2-D Mass Flow (lbm/s):	5.91048
2-D Gross Thrust (lbf):	1082.77
2-D Isp (lbf-s/lbm):	183.194
For an axisymmeric nozzle ,thrust and massflow are proportional to the throat
radius squared (R*^2). To find these values for a radius other than 1 inch,
multiple the values by the square of the new radius. For example, for a radius
of 3 inches, thrust and massflow would increase by a factor of 9.
2-D C* (ft/s):	4960.71

Based on the total conditions and assuming Mach = 1 at throat
1-D Mass Flow (lbm/s):	5.97625
1-D Gross Thrust (lbf):	1026.48
1-D Gross Isp (lbf-s/lbm):	171.76
1-D C* (ft/s):	4906.12
CD(2-D/1-D):	0.988995

Initial Expansion Angle ThetaB(deg):	17.1881
Massflow error due to grid at end of Kernel (%):	100

Last LRC, DE that effects the nozzle wall contour.
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Velocity(ft/s)	Density(slug/ft3)	Gamma	
0	0.525849	0.290334	1.30109	3.5069	109.729	3738.15	0.00184518	1.27
1	0.485241	0.028687	1.19131	0.0476248	126.884	3854.08	0.00206801	1.27
2	0.486875	0.0315218	1.19251	0.0754269	126.688	3852.83	0.00206551	1.27
3	0.489568	0.0361769	1.19451	0.121515	126.363	3850.75	0.00206135	1.27
4	0.493278	0.0425546	1.1973	0.185549	125.91	3847.85	0.00205555	1.27
5	0.497949	0.0505297	1.20086	0.267111	125.333	3844.14	0.00204815	1.27
6	0.503521	0.0599587	1.20519	0.365747	124.633	3839.63	0.00203917	1.27
7	0.509925	0.0706886	1.21027	0.481005	123.814	3834.32	0.00202865	1.27
8	0.517095	0.0825654	1.21609	0.612477	122.879	3828.23	0.00201664	1.27
9	0.524964	0.0954404	1.22263	0.759816	121.833	3821.38	0.00200315	1.27
10	0.533472	0.109175	1.22989	0.922762	120.678	3813.76	0.00198825	1.27
11	0.542562	0.123645	1.23784	1.10115	119.419	3805.39	0.00197197	1.27
12	0.552186	0.13874	1.24649	1.29489	118.059	3796.27	0.00195434	1.27
13	0.562299	0.154365	1.25582	1.50402	116.601	3786.42	0.0019354	1.27
14	0.572866	0.170439	1.26583	1.72865	115.048	3775.82	0.00191517	1.27
15	0.583856	0.186898	1.27652	1.96895	113.404	3764.47	0.00189369	1.27
16	0.595244	0.203687	1.28788	2.22521	111.671	3752.38	0.00187097	1.27
17	0.607012	0.220764	1.29992	2.49775	109.851	3739.53	0.00184705	1.27
18	0.619143	0.238097	1.31265	2.78697	107.947	3725.91	0.00182193	1.27
19	0.631626	0.255663	1.32607	3.09334	105.961	3711.51	0.00179563	1.27
20	0.644456	0.273445	1.3402	3.41734	103.895	3696.32	0.00176817	1.27
21	0.657627	0.291435	1.35506	3.75955	101.751	3680.3	0.00173955	1.27
