i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.204466	10.0021	29.9527	0.204466	1.0537	1.99463
2	0.213202	9.9546	29.8576	0.213202	1.05391	1.99937
3	0.222232	9.90315	29.7577	0.222232	1.05414	2.00487
4	0.23156	9.8477	29.6531	0.23156	1.0544	2.01117
5	0.241192	9.78819	29.5441	0.241192	1.05467	2.01834
6	0.251131	9.72456	29.4305	0.251131	1.05496	2.02641
7	0.261382	9.65675	29.3128	0.261382	1.05527	2.03547
8	0.271949	9.58473	29.1908	0.271949	1.05561	2.04556
9	0.282835	9.50846	29.0652	0.282835	1.05597	2.05677
10	0.294044	9.42793	28.9355	0.294044	1.05636	2.06913
11	0.305579	9.34312	28.8026	0.305579	1.05677	2.08276
12	0.317441	9.25403	28.6662	0.317441	1.0572	2.0977
13	0.329634	9.16068	28.5265	0.329634	1.05767	2.11402
14	0.342158	9.06307	28.3843	0.342158	1.05816	2.13186
15	0.355014	8.96122	28.2392	0.355014	1.05868	2.15127
16	0.368205	8.85516	28.0916	0.368205	1.05923	2.17234
17	0.38173	8.74491	27.9419	0.38173	1.05981	2.19522
18	0.39559	8.63052	27.7902	0.39559	1.06043	2.21999
19	0.409785	8.51202	27.6365	0.409785	1.06107	2.24676
20	0.424315	8.38944	27.4814	0.424315	1.06175	2.27571
21	0.439178	8.26282	27.3248	0.439178	1.06247	2.30696
22	0.454374	8.13219	27.167	0.454374	1.06322	2.34068
23	0.469904	7.99758	27.0081	0.469904	1.06401	2.37704
24	0.485764	7.85902	26.8483	0.485764	1.06483	2.41625
25	0.501955	7.71652	26.6879	0.501955	1.06569	2.45855
26	0.518475	7.57011	26.5269	0.518475	1.06659	2.50416
27	0.535323	7.41978	26.3656	0.535323	1.06753	2.55342
28	0.552499	7.26554	26.2035	0.552499	1.06851	2.60654
29	0.57	7.10737	26.0414	0.57	1.06954	2.66399
30	0.587826	6.94525	25.8786	0.587826	1.0706	2.72609
31	0.605977	6.77914	25.716	0.605977	1.0717	2.7934
32	0.624451	6.60902	25.5536	0.624451	1.07285	2.86647
33	0.643249	6.43481	25.3908	0.643249	1.07405	2.94586
34	0.66237	6.25644	25.2282	0.66237	1.07529	3.03236
35	0.681813	6.07382	25.0654	0.681813	1.07657	3.12679
36	0.701581	5.88687	24.9028	0.701581	1.0779	3.23023
37	0.721672	5.69545	24.74	0.721672	1.07928	3.34382
38	0.742089	5.49945	24.5774	0.742089	1.0807	3.46907
39	0.762833	5.29871	24.4146	0.762833	1.08217	3.60764
40	0.783904	5.09309	24.2519	0.783904	1.08369	3.76173
41	0.80443	4.9093	24.1114	0.80443	1.0852	3.91137
42	0.824462	4.74045	23.9865	0.824462	1.0867	4.05996
43	0.844959	4.55918	23.8544	0.844959	1.08826	4.23217
44	0.865124	4.38826	23.7332	0.865124	1.08983	4.40834
45	0.886174	4.19591	23.598	0.886174	1.09149	4.62405
46	0.907003	4.01191	23.4723	0.907003	1.09316	4.85067
47	0.928148	3.82204	23.3451	0.928148	1.09489	5.10802
48	0.943158	3.68224	23.2524	0.943158	1.09613	5.31475
49	0.958382	3.54018	23.1598	0.958382	1.0974	5.54199
50	0.973791	3.39501	23.0666	0.973791	1.09871	5.79425
51	0.988999	3.2561	22.9791	0.988999	1.1	6.05724
52	1.01071	3.05855	22.8573	1.01071	1.10188	6.47324
53	1.02655	2.90281	22.7617	1.02655	1.10327	6.84125
54	1.04199	2.75881	22.6754	1.04199	1.10463	7.21928
55	1.05781	2.60554	22.5846	1.05781	1.10604	7.6679
56	1.0734	2.45887	22.4994	1.0734	1.10744	8.15031
57	1.08934	2.30312	22.4097	1.08934	1.10889	8.73014
58	1.10499	2.15453	22.326	1.10499	1.11033	9.36235
59	1.1211	1.99409	22.236	1.1211	1.11182	10.151
60	1.13678	1.84453	22.1545	1.13678	1.11328	11.0109
61	1.15301	1.68038	22.0651	1.15301	1.1148	12.131
62	1.16877	1.52815	21.9843	1.16877	1.1163	13.3863
63	1.18503	1.36252	21.8969	1.18503	1.11785	15.0709
64	1.20103	1.20339	21.8147	1.20103	1.11939	17.1277
