i	j	X/R*	R/R*	mach	theta(deg)	Pressure, psia
0	0	0	1	1.13196	0	136.959
0	1	0.000100171	1	1.13216	0.00717419	136.925
0	2	0.0004008	1	1.13276	0.0287052	136.824
0	3	0.000902314	1	1.13378	0.0646235	136.654
0	4	0.00160546	1	1.1352	0.114983	136.416
0	5	0.00251132	1	1.13703	0.17986	136.109
0	6	0.0036213	1.00001	1.13929	0.259357	135.732
0	7	0.00493714	1.00002	1.14197	0.353599	135.284
0	8	0.00646094	1.00003	1.14509	0.462736	134.764
0	9	0.00819515	1.00004	1.14865	0.586945	134.171
0	10	0.0101426	1.00006	1.15268	0.726428	133.503
0	11	0.0123064	1.00009	1.15717	0.881417	132.76
0	12	0.0146902	1.00013	1.16214	1.05217	131.939
0	13	0.017298	1.00019	1.16762	1.23897	131.04
0	14	0.0201341	1.00025	1.1736	1.44215	130.06
0	15	0.0232032	1.00034	1.18011	1.66204	128.998
0	16	0.0265106	1.00044	1.18717	1.89903	127.852
0	17	0.0300619	1.00057	1.19478	2.15353	126.622
0	18	0.0338631	1.00072	1.20298	2.42599	125.305
0	19	0.0379208	1.0009	1.21179	2.71689	123.9
0	20	0.0422418	1.00112	1.22121	3.02676	122.405
0	21	0.0468337	1.00137	1.23128	3.35613	120.82
0	22	0.0517041	1.00167	1.24201	3.70562	119.144
0	23	0.0568615	1.00202	1.25343	4.07584	117.375
0	24	0.0623147	1.00243	1.26557	4.46749	115.513
0	25	0.0680728	1.0029	1.27845	4.88126	113.557
0	26	0.0741456	1.00344	1.2921	5.31792	111.507
0	27	0.0805432	1.00406	1.30655	5.77827	109.362
0	28	0.0872764	1.00477	1.32183	6.26318	107.124
0	29	0.0943562	1.00558	1.33798	6.77353	104.792
0	30	0.101794	1.0065	1.35502	7.31029	102.367
0	31	0.109603	1.00754	1.373	7.87448	99.8496
0	32	0.117794	1.00872	1.39196	8.46716	97.2421
0	33	0.126381	1.01005	1.41194	9.08946	94.5459
0	34	0.135378	1.01154	1.433	9.74261	91.7634
0	35	0.144798	1.01321	1.45517	10.4279	88.8971
0	36	0.154657	1.01509	1.47853	11.1467	85.9502
0	37	0.164969	1.01719	1.50312	11.9004	82.9262
0	38	0.17575	1.01954	1.52902	12.6907	79.8293
0	39	0.187016	1.02217	1.5563	13.5192	76.6642
0	40	0.198786	1.02509	1.58505	14.3877	73.4361
0	41	0.211076	1.02835	1.61536	15.2984	70.1507
0	42	0.223906	1.03197	1.64733	16.2532	66.8145
0	43	0.2306	1.03396	1.66416	16.7532	65.1104
0	44	0.236408	1.03573	1.67883	17.1881	63.6552
0	45	0.258405	1.04255	1.68779	17.2734	62.7789
0	46	0.280672	1.04949	1.69678	17.3493	61.9108
0	47	0.326039	1.06372	1.71481	17.4746	60.1984
0	48	0.372373	1.07835	1.7328	17.5687	58.53
0	49	0.419596	1.09334	1.75066	17.6359	56.9123
0	50	0.467638	1.10863	1.76834	17.6793	55.3484
0	51	0.516447	1.1242	1.78582	17.7012	53.8382
0	52	0.565962	1.14001	1.80308	17.7036	52.3823
0	53	0.616138	1.15602	1.82012	17.6881	50.9788
0	54	0.66694	1.17221	1.83693	17.6558	49.6254
0	55	0.718326	1.18854	1.85353	17.6079	48.3205
0	56	0.770266	1.205	1.86992	17.5452	47.0615
0	57	0.822735	1.22155	1.88611	17.4687	45.8462
0	58	0.875708	1.23818	1.90212	17.3791	44.6725
0	59	0.929167	1.25486	1.91794	17.2772	43.5385
0	60	0.983095	1.27157	1.93358	17.1638	42.4424
0	61	1.03747	1.2883	1.94906	17.0396	41.3826
0	62	1.0923	1.30504	1.96437	16.9055	40.3576
0	63	1.14755	1.32176	1.97952	16.7619	39.3659
0	64	1.20322	1.33845	1.99437	16.6141	38.4148
0	65	1.25928	1.3551	2.00827	16.4842	37.544
0	66	1.3157	1.37173	2.0219	16.3506	36.7075
0	67	1.37247	1.38831	2.03547	16.2076	35.892
0	68	1.4296	1.40483	2.04897	16.0557	35.0971
0	69	1.48707	1.42128	2.06244	15.8941	34.3196
0	70	1.5449	1.43766	2.07575	15.728	33.5676
0	71	1.60307	1.45394	2.08896	15.5553	32.8356
0	72	1.66159	1.47013	2.10215	15.3747	32.12
0	73	1.72045	1.48622	2.11512	15.1925	31.4302
0	74	1.77966	1.50219	2.12813	15.0014	30.7527
0	75	1.83922	1.51805	2.14091	14.8096	30.0999
0	76	1.89913	1.53378	2.15368	14.6111	29.4607
0	77	1.95939	1.54937	2.16633	14.4094	28.8401
0	78	2.01999	1.56483	2.17885	14.2055	28.238
0	79	2.08095	1.58014	2.19141	13.9941	27.646
0	80	2.14226	1.5953	2.20369	13.7854	27.0781
0	81	2.20392	1.6103	2.21606	13.5684	26.5172
0	82	2.26594	1.62515	2.22832	13.3496	25.9724
0	83	2.32833	1.63982	2.24115	13.1086	25.4139
0	84	2.39111	1.6543	2.25347	12.8782	24.8882
0	85	2.45426	1.66861	2.26528	12.6586	24.3936
0	86	2.51776	1.68275	2.27684	12.4425	23.9189
0	87	2.58161	1.69671	2.28824	12.2269	23.4591
0	88	2.64581	1.71049	2.29963	12.0078	23.0084
