i	j	x	r	mach	theta	press	temp	massflow
0	0	0	1	1.13196	0	136.959	3914.19	5.91048
0	1	0.000100171	1	1.13216	0.00717419	136.925	3913.98	5.93005
0	2	0.0004008	1	1.13276	0.0287052	136.824	3913.36	5.93106
0	3	0.000902314	1	1.13378	0.0646235	136.654	3912.33	5.93182
0	4	0.00160546	1	1.1352	0.114983	136.416	3910.88	5.93237
0	5	0.00251132	1	1.13703	0.17986	136.109	3909.01	5.93272
0	6	0.0036213	1.00001	1.13929	0.259357	135.732	3906.7	5.93292
0	7	0.00493714	1.00002	1.14197	0.353599	135.284	3903.96	5.93298
0	8	0.00646094	1.00003	1.14509	0.462736	134.764	3900.76	5.93293
0	9	0.00819515	1.00004	1.14865	0.586945	134.171	3897.11	5.9328
0	10	0.0101426	1.00006	1.15268	0.726428	133.503	3892.98	5.93262
0	11	0.0123064	1.00009	1.15717	0.881417	132.76	3888.36	5.93241
0	12	0.0146902	1.00013	1.16214	1.05217	131.939	3883.24	5.9322
0	13	0.017298	1.00019	1.16762	1.23897	131.04	3877.59	5.93208
0	14	0.0201341	1.00025	1.1736	1.44215	130.06	3871.41	5.93202
0	15	0.0232032	1.00034	1.18011	1.66204	128.998	3864.67	5.93203
0	16	0.0265106	1.00044	1.18717	1.89903	127.852	3857.35	5.93202
0	17	0.0300619	1.00057	1.19478	2.15353	126.622	3849.42	5.93202
0	18	0.0338631	1.00072	1.20298	2.42599	125.305	3840.88	5.932
0	19	0.0379208	1.0009	1.21179	2.71689	123.9	3831.68	5.932
0	20	0.0422418	1.00112	1.22121	3.02676	122.405	3821.81	5.93199
0	21	0.0468337	1.00137	1.23128	3.35613	120.82	3811.23	5.93198
0	22	0.0517041	1.00167	1.24201	3.70562	119.144	3799.93	5.93197
0	23	0.0568615	1.00202	1.25343	4.07584	117.375	3787.86	5.93196
0	24	0.0623147	1.00243	1.26557	4.46749	115.513	3775.01	5.93194
0	25	0.0680728	1.0029	1.27845	4.88126	113.557	3761.33	5.93193
0	26	0.0741456	1.00344	1.2921	5.31792	111.507	3746.79	5.93192
0	27	0.0805432	1.00406	1.30655	5.77827	109.362	3731.35	5.9319
0	28	0.0872764	1.00477	1.32183	6.26318	107.124	3714.98	5.93188
0	29	0.0943562	1.00558	1.33798	6.77353	104.792	3697.64	5.93187
0	30	0.101794	1.0065	1.35502	7.31029	102.367	3679.28	5.93185
0	31	0.109603	1.00754	1.373	7.87448	99.8496	3659.85	5.93183
0	32	0.117794	1.00872	1.39196	8.46716	97.2421	3639.32	5.93181
0	33	0.126381	1.01005	1.41194	9.08946	94.5459	3617.63	5.93179
0	34	0.135378	1.01154	1.433	9.74261	91.7634	3594.73	5.93177
0	35	0.144798	1.01321	1.45517	10.4279	88.8971	3570.56	5.93175
0	36	0.154657	1.01509	1.47853	11.1467	85.9502	3545.06	5.93174
0	37	0.164969	1.01719	1.50312	11.9004	82.9262	3518.17	5.93173
0	38	0.17575	1.01954	1.52902	12.6907	79.8293	3489.82	5.93172
0	39	0.187016	1.02217	1.5563	13.5192	76.6642	3459.93	5.93171
0	40	0.198786	1.02509	1.58505	14.3877	73.4361	3428.43	5.93172
0	41	0.211076	1.02835	1.61536	15.2984	70.1507	3395.23	5.93173
0	42	0.223906	1.03197	1.64733	16.2532	66.8145	3360.24	5.93176
0	43	0.2306	1.03396	1.66416	16.7532	65.1104	3341.84	5.93181
0	44	0.236408	1.03573	1.67883	17.1881	63.6552	3325.81	5.93186
